fold_id,formation_start,formation_end,evaluation_start,evaluation_end,strategy_name,identity_col,eligibility_col,selection_objective,benchmark_missing_policy,chosen_parameters,formation_objective_value,formation_total_net_excess_return,formation_average_turnover,formation_benchmark_observation_count
fold_01,2016-07-25,2019-07-24,2019-07-25,2020-07-24,trend_following,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|fast_window=50|min_history=220|slow_window=200,-0.03062707907938611,-0.020170970084516644,0.021282009652028294,759
fold_02,2017-07-25,2020-07-24,2020-07-27,2021-07-23,trend_following,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|fast_window=100|min_history=220|slow_window=200,0.0491319204848919,0.04466114099695039,0.02310686407444831,761
fold_03,2018-07-25,2021-07-23,2021-07-26,2022-07-22,trend_following,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|fast_window=100|min_history=220|slow_window=200,-0.05107669100099499,-0.03432134448710211,0.024452492576617805,761
fold_04,2019-07-25,2022-07-22,2022-07-25,2023-07-24,trend_following,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|fast_window=100|min_history=220|slow_window=200,-0.10818647530892145,-0.09253079471864695,0.022896852443110533,760
fold_05,2020-07-27,2023-07-24,2023-07-25,2024-07-24,trend_following,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|fast_window=50|min_history=220|slow_window=200,-0.1676732570786934,-0.12560456376648946,0.025225249774123173,757
fold_06,2021-07-26,2024-07-24,2024-07-25,2025-07-24,trend_following,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|fast_window=100|min_history=220|slow_window=200,-0.13137767558686853,-0.10714531093671541,0.02256443198640105,758
fold_07,2022-07-25,2025-07-24,2025-07-25,2026-07-20,trend_following,asset_id,eligible_to_trade,net_excess_nav_vs_benchmark,exclude_from_objective_and_excess_metrics,cost_scenario=base|fast_window=100|min_history=220|slow_window=200,-0.006874413706793314,-1.6142419663939256e-05,0.021175306788862893,759
