research_question,analysis_key,test_label,governance,claim_scope,inference_method,effect_estimate,effect_unit,null_value,alternative,ci_lower_95,ci_upper_95,p_value,adjusted_p_value,multiple_testing_family,multiple_testing_method,reject_null_0_05,sample_size,claim_label,limitation_note,source_artifact,primary_metric,sample_unit
publication_primary,trend_following,trend_following primary publication hypothesis,confirmatory,strategy_level_confirmatory_transferability,walk_forward_fold_sign_flip,0.0008204009098994785,evaluation_fold_nav_difference,0.0,greater,-0.031459583391562795,0.03087051700012456,0.4843,1.0,confirmatory_primary_family,holm,False,24,confirmatory_not_supported_after_holm,Fold-level confirmatory inference on out-of-sample strategy total return minus benchmark total return. The test addresses positive average benchmark-relative performance across evaluation folds; it is not a causal claim.,publication_trend_following_walk_forward_summary.csv,net_excess_nav_difference,evaluation_folds
publication_primary,mean_reversion,mean_reversion primary publication hypothesis,confirmatory,strategy_level_confirmatory_transferability,walk_forward_fold_sign_flip,-0.5555920906637198,evaluation_fold_nav_difference,0.0,greater,-0.6101901294618491,-0.4998745427235552,1.0,1.0,confirmatory_primary_family,holm,False,24,confirmatory_not_supported_after_holm,Fold-level confirmatory inference on out-of-sample strategy total return minus benchmark total return. The test addresses positive average benchmark-relative performance across evaluation folds; it is not a causal claim.,publication_mean_reversion_walk_forward_summary.csv,net_excess_nav_difference,evaluation_folds
publication_primary,pairs_trading,pairs_trading primary publication hypothesis,confirmatory,strategy_level_confirmatory_transferability,walk_forward_fold_sign_flip,-0.10683994834016741,evaluation_fold_nav_difference,0.0,greater,-0.17666741867773816,-0.030207222406029174,0.99435,1.0,confirmatory_primary_family,holm,False,24,confirmatory_not_supported_after_holm,Fold-level confirmatory inference on out-of-sample strategy total return minus benchmark total return. The test addresses positive average benchmark-relative performance across evaluation folds; it is not a causal claim.,publication_pairs_trading_walk_forward_summary.csv,net_excess_nav_difference,evaluation_folds
publication_primary,tax_loss_selling,tax_loss_selling primary publication hypothesis,confirmatory,strategy_level_confirmatory_transferability,year_clustered_sign_flip,0.024918808045132232,annual_mean_abnormal_event_minus_control_return,0.0,greater,-0.02787318500659601,0.07108805201608011,0.1733,0.6932,confirmatory_primary_family,holm,False,26,confirmatory_not_supported_after_holm,Primary tax-loss inference uses equal-weight calendar-year means of benchmark-adjusted net event-minus-control returns to respect within-year clustering. Raw event-minus-control returns remain secondary descriptive evidence.,publication_tax_loss_selling_event_study.csv,abnormal_net_return_difference,calendar_years
