fold_id,pit_net_excess_nav_difference,pit_legacy_excess,pit_chosen_parameters,retrospective_net_excess_nav_difference,retrospective_legacy_excess,retrospective_chosen_parameters,universe_effect_nav_difference,parameter_selection_changed
fold_01,-0.0489633384354945,-0.053126078030878016,cost_scenario=base|fast_window=50|min_history=220|slow_window=200,0.24368560190235133,0.2337829403703984,cost_scenario=base|fast_window=100|min_history=220|slow_window=150,0.29264894033784583,True
fold_02,-0.05375009347592363,-0.041673363224783024,cost_scenario=base|fast_window=100|min_history=220|slow_window=200,0.22322423849425,0.16523550224849823,cost_scenario=base|fast_window=100|min_history=220|slow_window=150,0.2769743319701736,True
fold_03,-0.07236061993947385,-0.07413865419921369,cost_scenario=base|fast_window=100|min_history=220|slow_window=200,0.0822012143574321,0.08749635527905818,cost_scenario=base|fast_window=100|min_history=220|slow_window=150,0.15456183429690595,True
fold_04,-0.022610052869071806,-0.01916481851429177,cost_scenario=base|fast_window=100|min_history=220|slow_window=200,-0.011254901821735608,-0.009312572741313703,cost_scenario=base|fast_window=50|min_history=220|slow_window=150,0.011355151047336198,True
fold_05,-0.0352222629597696,-0.03048514786221939,cost_scenario=base|fast_window=50|min_history=220|slow_window=200,0.08874954563412896,0.07630957144555055,cost_scenario=base|fast_window=100|min_history=220|slow_window=150,0.12397180859389856,True
fold_06,0.035587088246036735,0.033479326628489604,cost_scenario=base|fast_window=100|min_history=220|slow_window=200,0.1326005089210811,0.11454855812250278,cost_scenario=base|fast_window=100|min_history=220|slow_window=200,0.09701342067504437,False
fold_07,-0.09193741483884688,-0.08491370445823619,cost_scenario=base|fast_window=100|min_history=220|slow_window=200,0.02289749430748267,0.03249356049581331,cost_scenario=base|fast_window=100|min_history=220|slow_window=200,0.11483490914632954,False
