strategy_family,primary_metric,effect_estimate,effect_unit,ci_lower_95,ci_upper_95,raw_p_value,holm_p_value,reject_after_holm_0_05,sample_size,sample_unit,inference_method,claim_scope,frozen_evidence_change,publication_conclusion,source_artifact,comparability_note
trend_following,net_excess_nav_difference,0.0008204009098994,evaluation_fold_nav_difference,-0.0314595833915627,0.0308705170001245,0.4843,1.0,False,24,evaluation_folds,walk_forward_fold_sign_flip,strategy_level_confirmatory_transferability,supported_to_unsupported,confirmatory_not_supported_after_holm,publication_trend_following_walk_forward_summary.csv,Frozen preferred-comparison value is reconstructed as mean fold absolute_total_return minus benchmark_total_return; publication value uses the explicitly preferred net_excess_nav_difference.
mean_reversion,net_excess_nav_difference,-0.5555920906637198,evaluation_fold_nav_difference,-0.6101901294618491,-0.4998745427235552,1.0,1.0,False,24,evaluation_folds,walk_forward_fold_sign_flip,strategy_level_confirmatory_transferability,unsupported_to_unsupported,confirmatory_not_supported_after_holm,publication_mean_reversion_walk_forward_summary.csv,Frozen preferred-comparison value is reconstructed as mean fold absolute_total_return minus benchmark_total_return; publication value uses the explicitly preferred net_excess_nav_difference.
pairs_trading,net_excess_nav_difference,-0.1068399483401674,evaluation_fold_nav_difference,-0.1766674186777381,-0.0302072224060291,0.99435,1.0,False,24,evaluation_folds,walk_forward_fold_sign_flip,strategy_level_confirmatory_transferability,unsupported_to_unsupported,confirmatory_not_supported_after_holm,publication_pairs_trading_walk_forward_summary.csv,Frozen preferred-comparison value is reconstructed as mean fold absolute_total_return minus benchmark_total_return; publication value uses the explicitly preferred net_excess_nav_difference.
tax_loss_selling,abnormal_net_return_difference,0.0249188080451322,annual_mean_abnormal_event_minus_control_return,-0.027873185006596,0.0710880520160801,0.1733,0.6932,False,26,calendar_years,year_clustered_sign_flip,strategy_level_confirmatory_transferability,supported_to_unsupported,confirmatory_not_supported_after_holm,publication_tax_loss_selling_event_study.csv,"Context-only: frozen primary inference pooled ticker-events, whereas publication primary inference uses equal-weight calendar-year means of benchmark-adjusted net event-minus-control returns. Frozen year-level robustness effect=0.0428440441606, p=0.142578125."
