strategy_family,comparison_class,frozen_primary_metric,frozen_primary_value,frozen_legacy_excess_mean,frozen_reconstructed_nav_difference_mean,frozen_inferential_unit,frozen_sample_size,frozen_raw_p_value,frozen_adjusted_p_value,frozen_reject_null_0_05,publication_legacy_excess_mean,publication_primary_metric,publication_primary_value,publication_nav_difference_mean,publication_inferential_unit,publication_sample_size,publication_raw_p_value,publication_adjusted_p_value,publication_reject_null_0_05,economic_direction_change,evidence_strength_change,comparability_note
trend_following,derived_comparable,total_net_excess_return,0.092362575110027,0.09236257511002699,0.10276428548304055,folds,7,0.015625,0.046875,True,-0.008161846989797042,net_excess_nav_difference,0.0008204009098994,0.0008204009098994785,evaluation_folds,24,0.4843,1.0,False,positive_to_positive,supported_to_unsupported,Frozen preferred-comparison value is reconstructed as mean fold absolute_total_return minus benchmark_total_return; publication value uses the explicitly preferred net_excess_nav_difference.
mean_reversion,derived_comparable,total_net_excess_return,-0.4347648955415501,-0.43476489554155007,-0.37715218261590444,folds,7,1.0,1.0,False,-0.7617309818777106,net_excess_nav_difference,-0.5555920906637198,-0.5555920906637198,evaluation_folds,24,1.0,1.0,False,negative_to_negative,unsupported_to_unsupported,Frozen preferred-comparison value is reconstructed as mean fold absolute_total_return minus benchmark_total_return; publication value uses the explicitly preferred net_excess_nav_difference.
pairs_trading,derived_comparable,total_net_excess_return,-0.1594481851785449,-0.1594481851785449,-0.15848676191536137,folds,7,1.0,1.0,False,-0.10328435103780065,net_excess_nav_difference,-0.1068399483401674,-0.10683994834016741,evaluation_folds,24,0.99435,1.0,False,negative_to_negative,unsupported_to_unsupported,Frozen preferred-comparison value is reconstructed as mean fold absolute_total_return minus benchmark_total_return; publication value uses the explicitly preferred net_excess_nav_difference.
tax_loss_selling,context_only,mean_return_difference,0.0445766269102604,0.0445766269102604,0.0538340891644312,ticker_events,169,0.00325,0.013,True,0.0119940395010718,abnormal_net_return_difference,0.0249188080451322,0.030142818903918,calendar_years,26,0.1733,0.6932,False,positive_to_positive,supported_to_unsupported,"Context-only: frozen primary inference pooled ticker-events, whereas publication primary inference uses equal-weight calendar-year means of benchmark-adjusted net event-minus-control returns. Frozen year-level robustness effect=0.0428440441606, p=0.142578125."
